Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,3PAr,eFG%,TS%,PPP,OffRtg,PACE
Houston Rockets,76.0,46.0,30.0,0.6052631578947368,48.34473684210526,117.59605263157896,40.72105263157895,90.47368421052632,0.450087260034904,15.815789473684214,45.75131578947368,0.3456903741623768,20.303947368421053,25.613157894736844,0.7927155039556149,9.623684210526317,34.45657894736842,44.089473684210525,21.623684210526317,14.475,8.632894736842106,5.023684210526315,4.8394736842105255,21.860526315789475,20.948684210526313,2.981578947368421,0.5056864456079115,0.5374927283304247,0.5779046477053229,1.1032063875937455,110.32063875937455,105.83468292417396
Indiana Pacers,77.0,45.0,32.0,0.5844155844155844,48.26753246753247,108.9883116883117,41.84935064935065,88.04025974025973,0.47534333466094325,10.283116883116884,28.222077922077926,0.3643642722378169,15.058441558441562,19.151948051948054,0.7862616125313624,8.58961038961039,33.944155844155844,42.48311688311688,25.719480519480516,13.35064935064935,7.546753246753247,5.179220779220779,4.575324675324675,19.979220779220782,18.645454545454545,1.2987012987012987,0.32055877623873386,0.533743417267779,0.5648987717771536,1.076660053514191,107.6660053514191,100.66707851261906
LA Clippers,77.0,52.0,25.0,0.6753246753246753,48.32987012987013,117.22077922077922,41.811688311688314,89.2948051948052,0.468243233416234,12.555844155844156,33.64415584415584,0.3731953987493245,21.025974025974026,26.581818181818182,0.7909908149306234,10.533766233766235,36.96103896103896,47.50909090909091,23.55974025974026,14.423376623376623,7.092207792207791,4.614285714285714,4.625974025974026,22.34155844155844,22.953246753246756,6.592207792207793,0.37677618278866143,0.5385488023037653,0.5803537212851575,1.1176612770611227,111.76612770611227,104.16456602353955
Los Angeles Lakers,75.0,55.0,20.0,0.7333333333333333,48.13333333333333,113.48266666666667,42.30133333333333,88.29599999999999,0.47908550028691377,11.045333333333334,31.746666666666666,0.3479210415791684,17.820000000000004,24.572000000000003,0.7252156926583103,10.821333333333335,35.144,45.983999999999995,25.438666666666666,15.122666666666667,8.609333333333334,6.546666666666667,3.745333333333333,20.864,21.897333333333332,6.072,0.3595481864033101,0.5416326900425841,0.5725220621987452,1.097415621797507,109.7415621797507,103.12256177285319
Memphis Grizzlies,73.0,34.0,39.0,0.4657534246575342,48.13972602739726,112.61643835616438,42.56986301369863,90.88493150684931,0.46839297018659753,10.924657534246576,31.484931506849318,0.3469805081796032,16.59315068493151,21.76986301369863,0.7622073999496604,10.323287671232878,36.20684931506849,46.550684931506844,26.916438356164385,15.242465753424659,7.905479452054795,5.46027397260274,5.294520547945205,21.167123287671235,20.202739726027396,-1.0904109589041096,0.34642631055376366,0.5284945588279625,0.5604833915292491,1.0686410463193043,106.86410463193043,105.07697456035513
Miami Heat,77.0,48.0,29.0,0.6233766233766234,48.59090909090909,112.00259740259742,39.34415584415584,84.18831168831169,0.46733513305052066,13.38961038961039,35.2948051948052,0.37936490414688884,19.91688311688312,25.442857142857143,0.7828084324434691,8.528571428571428,35.88961038961039,44.42987012987013,25.82727272727273,14.881818181818183,7.566233766233767,4.523376623376623,4.223376623376624,20.315584415584414,21.76753246753247,3.336363636363636,0.41923640570767456,0.5468569224836097,0.5871192935561068,1.1009096080219523,110.09096080219523,100.49920940799146
Milwaukee Bucks,77.0,59.0,18.0,0.7662337662337663,48.2025974025974,118.52857142857144,43.3064935064935,90.77012987012988,0.4771007110869471,13.88831168831169,38.98571428571428,0.3562410473366869,18.077922077922082,24.45714285714286,0.7391673746813935,9.409090909090908,42.161038961038955,51.555844155844156,25.958441558441557,15.189610389610388,7.231168831168831,5.7844155844155845,4.406493506493507,19.681818181818183,21.65974025974026,9.976623376623376,0.4294993776200763,0.5536033651438627,0.5837047455662052,1.1045251317679954,110.45251317679954,106.86075654704173
Minnesota Timberwolves,64.0,19.0,45.0,0.296875,48.6109375,113.265625,40.4015625,91.64375,0.44085453181477186,13.3421875,39.699999999999996,0.3360752518891688,19.112500000000004,25.3734375,0.7532483527310796,10.534375,34.26562499999999,44.8109375,23.840625,15.334375,8.6734375,5.6609375,5.5484375,21.4078125,21.6046875,-4.296875,0.43319920889313235,0.5136482984382459,0.5508596419663098,1.0525756376293829,105.25756376293829,106.25565491305326
New Orleans Pelicans,72.0,30.0,42.0,0.4166666666666667,48.43055555555556,115.8527777777778,42.56944444444444,91.61944444444445,0.4646332959403328,13.631944444444445,36.888888888888886,0.3695406626506024,17.0625,23.443055555555553,0.7278274779311571,11.054166666666667,35.42777777777778,46.52222222222222,26.843055555555555,16.40833333333333,7.486111111111111,4.975,4.8277777777777775,21.17638888888889,21.084722222222222,-1.2958333333333334,0.40263165873328677,0.5390276809265379,0.568271311775167,1.0798241916658817,107.98241916658817,106.33474275881845
New York Knicks,66.0,21.0,45.0,0.3181818181818182,48.39090909090909,105.82575757575758,39.99242424242424,89.33181818181819,0.4476839837853423,9.58030303030303,28.356060606060606,0.33785733368955384,16.313636363636363,23.477272727272727,0.6948693126815101,12.027272727272727,34.45757575757575,46.53181818181818,22.062121212121212,14.331818181818184,7.61969696969697,4.716666666666667,5.053030303030304,22.174242424242426,19.76060606060606,-6.446969696969696,0.3174239725911226,0.5013059922997336,0.5309242772527699,1.0378496771068297,103.78496771068298,101.14266391132819
Oklahoma City Thunder,76.0,46.0,30.0,0.6052631578947368,48.478947368421046,110.40789473684211,39.91052631578947,85.4921052631579,0.46683288700095416,10.781578947368422,30.390789473684208,0.3547646880547258,19.81578947368421,24.901315789473685,0.7957727873183619,8.219736842105263,34.988157894736844,43.185526315789474,21.525000000000002,13.780263157894739,7.482894736842105,4.8236842105263165,3.9763157894736842,19.29605263157895,22.84078947368421,1.6881578947368423,0.3554806537999815,0.5298888786283743,0.5723659977353651,1.082332606704761,108.2332606704761,101.00141135598744
Orlando Magic,77.0,34.0,43.0,0.44155844155844154,48.125974025974024,107.30779220779219,39.24025974025973,88.53896103896103,0.4431976530986431,11.266233766233766,32.65064935064935,0.345053896026411,17.615584415584415,22.60909090909091,0.7791372278706415,10.068831168831169,34.3064935064935,44.370129870129865,23.96883116883117,12.981818181818182,8.180519480519482,5.35064935064935,4.568831168831168,18.411688311688312,19.540259740259742,-1.3766233766233766,0.3687715438210488,0.5068206820682067,0.5447817207261664,1.0582627927266541,105.82627927266542,101.13452465121298
Philadelphia 76ers,77.0,43.0,34.0,0.5584415584415584,48.1961038961039,110.19610389610388,40.7038961038961,87.67922077922077,0.4642365174114615,11.438961038961038,31.537662337662333,0.3627079558557075,17.38701298701299,22.94155844155844,0.7578828191338808,10.574025974025975,34.912987012987,45.5025974025974,25.396103896103895,14.105194805194804,7.893506493506495,5.285714285714285,4.0987012987012985,21.015584415584417,20.645454545454548,1.6506493506493507,0.3596936886229319,0.5294683986787729,0.5635274209144909,1.0877691828430631,108.7769182843063,100.89247931880034
Phoenix Suns,73.0,34.0,39.0,0.4657534246575342,48.21232876712329,113.62876712328769,41.18219178082192,88.06301369863014,0.4676445882462744,11.397260273972602,31.779452054794515,0.35863614810983235,19.87945205479452,23.836986301369862,0.8339750589046606,9.750684931506848,33.74657534246575,43.52465753424658,27.208219178082192,14.763013698630134,7.668493150684931,3.960273972602739,5.493150684931506,22.05890410958904,22.636986301369863,0.20684931506849322,0.3608717294589801,0.5323554117537255,0.5764955984256303,1.0971880958881208,109.71880958881208,103.1075186816309
Portland Trail Blazers,78.0,36.0,42.0,0.46153846153846156,48.17948717948718,114.3448717948718,41.87307692307693,91.01153846153845,0.460085365338292,12.784615384615385,33.970512820512816,0.37634449182926377,17.826923076923077,22.205128205128204,0.8028290993071594,10.167948717948718,35.01025641025641,45.17820512820512,20.441025641025643,12.902564102564103,6.278205128205128,6.008974358974359,4.978205128205128,21.844871794871796,20.276923076923076,-1.6653846153846155,0.37325501133978506,0.5303215991209906,0.5672893201610997,1.1046062311438298,110.46062311438298,103.13077168706755
Sacramento Kings,72.0,31.0,41.0,0.4305555555555556,48.476388888888884,110.10277777777777,40.86527777777778,88.39166666666667,0.46232048018604066,12.68611111111111,34.87777777777777,0.36373048741637465,15.644444444444446,20.331944444444442,0.7694514652640209,9.655555555555555,32.94166666666666,42.58888888888889,23.790277777777774,14.494444444444444,7.705555555555555,4.063888888888888,4.218055555555555,22.134722222222223,19.5,-2.036111111111111,0.39458219414851825,0.5340812670877721,0.5655709588437507,1.0775731997809892,107.75731997809892,101.17249749305218
San Antonio Spurs,71.0,32.0,39.0,0.4507042253521127,48.49295774647887,114.05915492957746,42.199999999999996,89.45070422535213,0.4717682254763028,10.707042253521125,28.45633802816901,0.3762621263116215,19.00281690140845,23.44225352112676,0.8106224465272772,9.019718309859156,35.63098591549296,44.63521126760563,24.673239436619717,12.604225352112678,7.301408450704226,5.509859154929577,4.340845070422536,19.416901408450702,20.05211267605634,-1.1140845070422536,0.318123130215714,0.5316170681782395,0.5716374318541432,1.1036223758612211,110.36223758612212,102.29919488817893
Toronto Raptors,76.0,57.0,19.0,0.75,48.251315789473686,113.48684210526316,40.47894736842105,88.09868421052632,0.4594727802255246,14.046052631578947,37.20131578947368,0.37756870512503093,18.46315789473684,23.219736842105263,0.7951493171643905,9.507894736842106,36.18947368421052,45.67236842105263,25.489473684210527,14.663157894736843,8.743421052631579,5.007894736842106,5.443421052631579,21.7,20.39605263157895,7.005263157894737,0.42226868792472555,0.5391905010828169,0.5771571826860072,1.0968024489023585,109.68024489023584,102.93170734367756
Utah Jazz,77.0,47.0,30.0,0.6103896103896104,48.250649350649354,111.96623376623376,40.26753246753247,85.04415584415585,0.4734897074094435,13.609090909090911,35.43766233766234,0.3840290248103493,17.836363636363636,22.85974025974026,0.7802522440631746,9.153246753246753,35.54805194805195,44.701298701298704,22.453246753246752,14.924675324675325,6.049350649350649,4.011688311688311,4.592207792207793,20.348051948051946,20.88051948051948,2.7883116883116883,0.4166972084784069,0.5535016187160222,0.5886611948728424,1.1099627051295122,110.99627051295123,100.34985707749037
Washington Wizards,72.0,25.0,47.0,0.3472222222222222,48.201388888888886,114.4152777777778,41.53611111111111,90.89583333333333,0.4569638627855451,11.983333333333333,32.577777777777776,0.367837653478854,19.34166666666667,24.591666666666665,0.7865130464249408,10.17222222222222,31.890277777777776,42.034722222222214,25.023611111111112,14.177777777777777,7.987500000000001,4.301388888888889,5.045833333333333,22.6875,22.23611111111111,-4.675,0.3584078233631293,0.5228818091527236,0.5624242513617688,1.0822305517997723,108.22305517997724,105.2800092205734
