Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,3PAr,eFG%,TS%,PPP,OffRtg,PACE
Boston Celtics,64.0,43.0,21.0,0.671875,48.409375,113.01875,41.143750000000004,89.61406249999999,0.4591215803881228,12.3859375,34.2203125,0.3619469430619607,18.2796875,22.828125,0.8007529089664613,10.685937500000001,35.303124999999994,45.9828125,22.790625000000002,13.668750000000003,8.275,5.593749999999999,5.546875,21.38125,20.615625,6.1609375,0.38186319808902763,0.5282286889962166,0.5670305135980083,1.1011045754021895,110.11045754021896,101.77326189400297
Brooklyn Nets,64.0,30.0,34.0,0.46875,48.6359375,110.753125,39.9703125,90.065625,0.4437909857395649,12.8859375,37.8703125,0.34026488426785495,17.96875,24.150000000000002,0.744047619047619,10.853125,37.639062499999994,48.4921875,24.046875,15.53125,6.4875,4.54375,5.334375,20.6703125,20.8578125,-0.6296875,0.4204746538981992,0.5153273654626834,0.5499619506587563,1.051090327157462,105.10903271574621,103.99199151861727
Dallas Mavericks,67.0,40.0,27.0,0.5970149253731343,48.291044776119406,116.34626865671643,41.59402985074627,89.96716417910447,0.46232456285875445,15.310447761194029,41.49850746268657,0.3689397209034671,17.838805970149256,23.12686567164179,0.7713455953533399,10.629850746268657,36.39850746268657,47.02835820895522,24.471641791044778,12.788059701492537,6.255223880597015,4.988059701492537,4.001492537313433,19.064179104477613,20.77761194029851,6.035820895522388,0.4612628156209563,0.547413650087926,0.5809007419242338,1.1372914046610973,113.72914046610974,101.68463606861381
Denver Nuggets,65.0,43.0,22.0,0.6615384615384615,48.45230769230769,110.40307692307692,41.84615384615385,88.88307692307691,0.4708000138470593,10.867692307692307,30.40307692307692,0.35745369901831797,15.849230769230767,20.464615384615385,0.7744700045105998,10.75076923076923,33.53230769230769,44.28307692307692,26.52923076923077,13.695384615384617,8.12923076923077,4.643076923076923,4.504615384615384,20.03076923076923,19.96923076923077,2.9569230769230765,0.34205698064873474,0.531934780351023,0.5639283271472687,1.0949196898180191,109.49196898180192,99.89084397028003
Houston Rockets,64.0,40.0,24.0,0.625,48.25,118.121875,41.10625,90.6796875,0.4533126561557681,15.3859375,44.254687499999996,0.3476679730254564,20.4828125,26.0109375,0.7874692136721332,10.357812500000001,34.54375,44.9125,21.501562500000002,14.6546875,8.467187500000001,5.1187499999999995,4.9312499999999995,21.5921875,20.7859375,3.7531250000000003,0.48803308348410435,0.5381493926079091,0.5783229048857033,1.1099450180943444,110.99450180943444,105.86996891191707
Indiana Pacers,65.0,39.0,26.0,0.6,48.316923076923075,109.33076923076923,42.17230769230769,88.38615384615385,0.47713703851978206,9.97846153846154,27.475384615384616,0.36317822946413575,15.069230769230769,19.14923076923077,0.7869366112316221,8.846153846153847,34.0323076923077,42.83692307692308,25.96923076923077,13.113846153846156,7.247692307692307,5.144615384615384,4.478461538461538,19.6,18.616923076923076,1.9261538461538459,0.31085620789890517,0.533585142121112,0.5646561258892748,1.081631398162117,108.16313981621171,100.41650130548305
LA Clippers,64.0,44.0,20.0,0.6875,48.2421875,116.1875,41.63125,89.68593750000001,0.4641892715900974,12.140625,33.1921875,0.3657675469566445,20.765625,26.2484375,0.7911185189594618,10.95,37.0015625,47.96875,23.857812499999998,14.7859375,7.1265624999999995,4.9624999999999995,4.89375,22.046875,22.814062500000002,6.509375,0.3700935556368578,0.5318733775849753,0.5738490298586707,1.1057979143901842,110.57979143901842,104.54370461538463
Los Angeles Lakers,63.0,49.0,14.0,0.7777777777777778,48.15873015873016,114.36031746031746,42.92698412698413,88.53809523809524,0.4848419656142993,11.166666666666668,31.446031746031746,0.35510574933117967,17.322222222222226,23.755555555555556,0.7291861552853135,10.5984126984127,35.53650793650794,46.15714285714286,25.901587301587302,15.096825396825396,8.593650793650793,6.809523809523809,3.73968253968254,20.617460317460317,21.44920634920635,7.420634920634921,0.3551695082378673,0.5479033327954966,0.5776325587630307,1.105048556674403,110.50485566744031,103.14785497692816
Memphis Grizzlies,65.0,32.0,33.0,0.49230769230769234,48.08,112.61846153846153,42.779999999999994,90.98,0.47021323367773127,10.916923076923077,31.078461538461536,0.3512697391218257,16.18769230769231,21.3,0.7599855543517515,10.438461538461539,36.26461538461538,46.72615384615384,27.033846153846156,15.260000000000002,8.018461538461539,5.592307692307692,5.344615384615384,20.820000000000004,19.755384615384614,-1.1046153846153846,0.3415966315504675,0.5302095135025449,0.5611171752354788,1.0707870362243792,107.07870362243793,104.99854089338285
Miami Heat,65.0,41.0,24.0,0.6307692307692307,48.7,112.15692307692308,39.62307692307692,84.38307692307693,0.4695618880927637,13.350769230769231,34.85076923076923,0.3830839182448241,19.538461538461544,25.118461538461535,0.7778526367366941,8.484615384615385,36.035384615384615,44.54,25.992307692307694,14.903076923076924,7.3876923076923084,4.466153846153845,4.246153846153846,20.34923076923077,21.521538461538462,3.2323076923076917,0.4130066181698846,0.5486699848675454,0.5876077331892376,1.1011574977554524,110.11574977554524,100.38964586953088
