Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,Month
Detroit Pistons,5,2,3,0.4,48.0,107.8,39.0,81.6,47.8,11.2,26.8,41.8,18.6,24.8,75.0,8.8,33.0,41.8,23.4,19.0,5.8,4.4,3.4,20.4,21.8,-4.8,October
Brooklyn Nets,4,1,3,0.25,50.5,120.0,42.5,93.3,45.6,14.0,36.8,38.1,21.0,30.8,68.3,12.5,37.8,50.3,22.3,19.8,7.8,5.3,5.0,24.3,26.5,-2.0,October
Golden State Warriors,4,1,3,0.25,48.0,114.5,39.0,94.3,41.4,10.5,34.5,30.4,26.0,30.3,86.0,13.3,33.0,46.3,26.3,16.0,9.0,2.5,5.3,20.0,23.0,-11.8,October
Indiana Pacers,4,1,3,0.25,48.0,105.3,41.0,91.5,44.8,8.8,24.0,36.5,14.5,17.5,82.9,10.0,29.5,39.5,24.5,12.3,8.8,3.8,5.3,24.3,19.5,-3.0,October
Memphis Grizzlies,4,1,3,0.25,49.3,107.0,39.5,95.3,41.5,9.0,32.0,28.1,19.0,24.5,77.6,11.3,36.5,47.8,24.8,18.8,9.0,6.5,7.0,27.0,23.8,-13.8,October
Washington Wizards,4,1,3,0.25,48.0,119.3,45.0,94.0,47.9,14.5,38.0,38.2,14.8,18.5,79.7,9.5,34.3,43.8,27.0,16.0,6.0,5.3,5.8,23.8,20.8,0.3,October
Chicago Bulls,5,1,4,0.2,48.0,105.6,38.6,94.0,41.1,10.6,36.2,29.3,17.8,23.0,77.4,11.6,30.2,41.8,21.0,11.6,9.2,4.6,7.0,21.8,20.8,-6.0,October
New Orleans Pelicans,5,1,4,0.2,49.0,121.2,44.6,96.0,46.5,16.4,43.2,38.0,15.6,21.0,74.3,10.0,34.2,44.2,30.6,16.2,7.8,5.0,3.8,25.4,22.2,-2.8,October
New York Knicks,5,1,4,0.2,48.0,100.6,36.4,86.0,42.3,10.0,28.4,35.2,17.8,26.4,67.4,13.0,35.0,48.0,18.8,18.4,8.2,5.0,5.4,24.6,21.8,-8.2,October
Oklahoma City Thunder,5,1,4,0.2,48.0,102.2,36.6,84.4,43.4,9.4,28.8,32.6,19.6,27.2,72.1,10.2,40.6,50.8,18.0,18.6,7.0,4.0,5.4,23.0,24.2,0.8,October
Sacramento Kings,5,0,5,0.0,48.0,98.6,36.2,88.4,41.0,11.6,35.0,33.1,14.6,19.6,74.5,11.2,30.4,41.6,20.2,18.0,7.4,4.6,4.6,21.8,21.0,-17.0,October
Milwaukee Bucks,16,15,1,0.938,48.0,120.5,44.1,91.4,48.2,13.5,39.1,34.5,18.9,26.0,72.6,11.1,40.9,52.0,25.3,15.0,7.7,6.3,4.0,19.5,22.4,13.1,November
Los Angeles Lakers,15,14,1,0.933,48.3,113.8,43.6,88.9,49.0,11.3,30.5,36.9,15.3,21.1,72.8,9.9,34.6,44.5,27.5,15.1,8.5,7.3,3.4,19.8,19.9,8.7,November
Denver Nuggets,12,10,2,0.833,48.8,107.0,41.4,90.9,45.6,10.3,29.1,35.5,13.8,19.9,69.5,11.3,37.1,48.4,27.3,14.0,8.2,5.1,4.8,19.8,20.3,7.2,November
Toronto Raptors,13,10,3,0.769,48.0,111.5,40.3,88.0,45.8,14.4,35.9,40.0,16.5,21.4,77.0,9.7,35.3,45.0,25.6,13.9,7.7,5.0,6.6,20.4,19.8,8.2,November
Indiana Pacers,15,11,4,0.733,48.7,110.8,43.3,90.5,47.8,9.6,26.5,36.2,14.7,18.1,81.2,10.1,36.5,46.5,24.9,14.8,6.6,5.8,4.5,20.1,19.2,7.1,November
Boston Celtics,14,10,4,0.714,48.4,110.9,40.2,89.3,45.0,11.5,33.8,34.0,18.9,22.7,83.3,10.4,36.2,46.6,24.1,13.8,9.4,5.6,6.2,20.2,20.7,6.0,November
LA Clippers,14,10,4,0.714,48.4,113.5,40.7,92.5,44.0,11.6,34.0,34.2,20.4,26.1,78.4,13.3,38.6,51.9,23.9,16.4,7.6,6.1,5.5,23.1,23.6,6.9,November
Miami Heat,13,9,4,0.692,48.0,109.9,39.3,80.5,48.8,12.5,31.6,39.4,18.8,24.2,77.8,8.3,34.8,43.2,25.8,18.2,9.3,3.9,3.2,20.7,22.5,5.8,November
Houston Rockets,15,10,5,0.667,48.0,118.2,40.2,89.0,45.2,15.7,45.2,34.8,22.1,28.7,76.8,10.7,36.8,47.5,20.3,15.4,8.8,4.5,4.2,21.9,21.9,7.2,November
Dallas Mavericks,14,9,5,0.643,48.4,118.9,42.1,90.6,46.5,14.9,39.7,37.6,19.7,25.1,78.6,11.0,37.1,48.1,24.6,13.2,6.4,4.4,4.1,20.1,22.3,8.7,November
Philadelphia 76ers,16,10,6,0.625,48.3,108.2,40.8,85.9,47.4,10.6,29.1,36.3,16.1,21.4,75.4,9.4,35.7,45.1,26.5,15.5,8.1,5.6,3.9,21.3,20.6,3.1,November
Sacramento Kings,13,8,5,0.615,48.4,106.4,39.3,85.6,45.9,12.7,34.7,36.6,15.1,19.2,78.7,9.5,32.4,41.8,23.7,15.2,7.8,4.8,4.8,22.5,18.5,1.9,November
Brooklyn Nets,15,9,6,0.6,48.0,110.5,40.1,89.5,44.8,12.9,38.0,34.0,17.5,23.1,75.5,9.9,35.9,45.8,24.2,15.3,6.9,5.2,4.9,21.7,20.8,-1.2,November
Utah Jazz,14,8,6,0.571,48.0,108.6,37.9,85.4,44.4,12.4,32.6,37.9,20.4,26.3,77.4,9.1,37.1,46.1,20.9,14.8,5.7,4.6,5.5,20.3,22.0,0.5,November
Minnesota Timberwolves,14,7,7,0.5,48.7,113.9,41.1,92.7,44.3,13.1,39.4,33.2,18.6,25.1,74.1,11.0,37.9,48.9,24.2,15.4,7.6,7.3,4.9,22.4,21.8,-1.0,November
Oklahoma City Thunder,13,6,7,0.462,48.4,109.5,39.6,84.2,47.0,11.2,30.7,36.6,19.1,23.4,81.6,7.1,32.2,39.2,23.7,13.4,7.9,5.1,4.6,19.3,22.1,-1.8,November
Phoenix Suns,13,5,8,0.385,48.0,114.5,40.9,88.1,46.5,13.2,35.5,37.0,19.5,24.1,80.8,8.5,32.5,41.0,27.1,13.8,6.7,3.8,4.9,20.7,23.9,-1.1,November
Washington Wizards,13,5,8,0.385,48.0,118.2,45.0,94.4,47.7,12.6,34.1,37.0,15.6,19.1,81.9,10.1,31.4,41.5,29.1,14.5,7.5,3.7,6.0,21.4,19.6,-3.5,November
Charlotte Hornets,16,6,10,0.375,48.3,104.7,38.4,87.0,44.1,12.2,35.3,34.6,15.8,21.5,73.3,10.4,30.5,40.9,23.3,14.4,7.1,4.1,3.6,18.6,20.6,-8.3,November
New Orleans Pelicans,14,5,9,0.357,48.0,112.9,41.1,91.4,45.0,14.4,37.8,38.0,16.2,22.2,73.0,11.6,33.7,45.4,23.3,16.4,8.3,4.8,4.8,22.3,20.2,-5.0,November
Orlando Magic,14,5,9,0.357,48.0,102.6,37.6,87.1,43.2,9.6,30.4,31.8,17.8,22.6,78.5,10.6,34.3,44.9,22.4,13.9,8.4,6.9,4.0,19.0,19.8,-2.1,November
Chicago Bulls,15,5,10,0.333,48.0,106.2,38.3,89.7,42.8,12.5,35.0,35.8,17.0,23.2,73.3,10.9,34.0,44.9,23.7,16.5,9.9,3.7,6.9,23.4,21.2,-3.7,November
Portland Trail Blazers,15,5,10,0.333,48.3,114.5,42.1,93.3,45.2,12.9,35.1,36.8,17.3,21.3,80.9,10.8,35.9,46.7,20.8,13.1,5.5,6.1,6.0,22.4,20.0,-1.7,November
Detroit Pistons,14,4,10,0.286,48.0,106.6,38.7,83.9,46.1,12.5,32.9,38.0,16.6,22.4,74.4,9.6,32.8,42.4,25.1,15.9,6.9,5.6,5.1,20.0,20.2,-1.4,November
Memphis Grizzlies,14,4,10,0.286,48.0,109.5,42.4,90.3,46.9,11.3,30.1,37.5,13.5,17.9,75.3,10.1,35.0,45.1,27.4,16.1,7.1,5.0,6.1,20.6,17.9,-7.2,November
San Antonio Spurs,16,4,12,0.25,48.0,111.0,42.2,90.3,46.7,9.4,26.3,35.6,17.3,21.8,79.3,10.4,34.4,44.8,24.6,12.8,6.1,5.3,4.9,18.6,19.8,-4.0,November
New York Knicks,14,3,11,0.214,48.0,101.7,37.2,86.9,42.8,11.4,29.9,37.9,15.9,23.7,67.2,12.2,31.9,44.1,20.7,14.3,8.0,4.2,3.9,24.1,19.6,-7.6,November
Cleveland Cavaliers,15,3,12,0.2,48.0,104.3,37.6,87.3,43.1,11.1,32.0,34.8,18.0,22.7,79.2,10.1,32.9,43.1,20.3,14.8,7.9,2.5,7.7,17.9,21.4,-8.7,November
Golden State Warriors,16,3,13,0.188,48.3,105.5,38.4,88.0,43.7,9.5,28.3,33.6,19.1,23.0,83.2,9.2,33.5,42.7,24.1,13.8,7.6,5.0,5.8,19.3,20.0,-8.4,November
Atlanta Hawks,15,2,13,0.133,48.7,109.2,40.1,89.7,44.7,10.5,32.8,31.9,18.6,24.4,76.2,10.2,31.3,41.5,23.1,18.0,8.5,4.6,7.6,24.0,22.1,-14.8,November
Milwaukee Bucks,15,13,2,0.867,48.0,119.3,44.3,90.1,49.1,14.1,36.7,38.5,16.6,22.3,74.6,10.0,42.2,52.2,27.2,15.2,8.6,6.3,5.6,17.8,19.7,16.5,December
Boston Celtics,13,10,3,0.769,48.0,112.6,42.0,87.1,48.2,12.9,34.7,37.3,15.7,19.6,80.0,10.5,34.0,44.5,22.8,14.4,6.8,6.8,4.6,21.8,18.8,10.3,December
Miami Heat,15,11,4,0.733,49.7,113.5,39.5,86.8,45.5,12.5,33.5,37.5,21.9,27.8,78.7,9.7,37.4,47.1,24.7,13.7,6.2,3.5,4.9,19.6,22.3,1.5,December
Oklahoma City Thunder,15,11,4,0.733,48.7,109.1,40.1,84.7,47.4,9.1,28.5,31.8,19.8,24.5,80.7,8.9,34.6,43.5,20.7,13.7,7.5,5.3,3.7,18.7,22.7,3.4,December
Houston Rockets,15,10,5,0.667,48.7,118.3,42.5,92.4,46.0,15.7,43.2,36.4,17.5,22.5,78.0,11.6,35.3,46.9,21.5,14.5,7.9,5.3,5.0,20.8,19.7,4.9,December
Indiana Pacers,15,10,5,0.667,48.3,108.3,40.9,88.8,46.0,11.2,30.2,37.1,15.4,19.6,78.6,8.3,34.4,42.7,26.5,11.8,6.7,5.0,5.4,18.9,17.9,1.9,December
LA Clippers,15,10,5,0.667,48.0,116.7,41.5,89.9,46.1,12.2,32.7,37.3,21.6,27.0,80.0,10.7,35.9,46.6,22.9,14.9,8.5,4.1,5.0,20.1,22.8,7.5,December
Los Angeles Lakers,14,9,5,0.643,48.0,111.9,41.8,86.9,48.1,10.7,31.5,34.0,17.6,24.1,72.8,10.8,34.8,45.6,25.4,15.5,8.8,6.9,4.5,21.4,21.7,4.2,December
Utah Jazz,14,9,5,0.643,48.0,110.0,40.3,83.8,48.1,13.0,32.4,40.2,16.4,21.6,76.2,8.9,36.9,45.9,22.6,16.4,5.7,3.7,4.7,20.7,20.9,1.6,December
Denver Nuggets,16,10,6,0.625,48.0,109.7,41.8,88.7,47.1,11.0,30.8,35.7,15.2,19.0,79.9,11.0,31.3,42.3,27.2,13.6,7.9,4.1,4.8,18.6,19.3,3.5,December
Dallas Mavericks,15,9,6,0.6,48.3,114.3,40.5,90.0,45.0,15.9,43.3,36.7,17.5,22.1,79.5,11.2,37.5,48.7,24.5,12.9,6.8,4.6,3.9,18.9,19.1,7.4,December
San Antonio Spurs,12,7,5,0.583,50.5,116.5,44.6,92.7,48.1,11.2,28.9,38.6,16.2,21.1,76.7,7.9,39.4,47.3,25.8,13.4,8.3,6.6,4.0,19.2,19.0,0.5,December
Philadelphia 76ers,16,9,7,0.563,48.3,110.4,41.8,88.6,47.1,11.5,30.6,37.6,15.4,20.9,74.0,10.6,35.4,46.1,26.7,14.1,8.1,5.8,4.1,19.9,19.7,3.5,December
Toronto Raptors,16,9,7,0.563,48.6,110.6,39.2,88.1,44.5,12.4,35.2,35.2,19.8,24.6,80.7,10.6,35.3,45.9,24.9,15.0,9.2,5.7,4.4,20.8,20.2,2.3,December
Chicago Bulls,14,7,7,0.5,48.7,105.7,38.5,87.2,44.1,13.3,35.5,37.4,15.4,19.1,80.9,9.5,34.1,43.6,23.4,16.1,10.1,5.1,6.0,20.9,18.9,3.5,December
Memphis Grizzlies,16,8,8,0.5,48.0,113.4,42.6,90.3,47.2,12.2,34.3,35.6,16.1,20.4,79.1,9.8,34.8,44.6,27.6,14.9,8.3,5.0,5.0,21.6,19.9,-1.3,December
Orlando Magic,15,7,8,0.467,48.0,105.1,39.0,88.5,44.1,10.9,30.1,36.1,16.2,21.9,74.1,9.4,33.1,42.5,23.5,12.2,8.4,6.5,4.7,17.2,19.0,-2.7,December
Brooklyn Nets,13,6,7,0.462,48.8,107.8,39.3,92.2,42.7,11.5,37.1,30.9,17.7,23.5,75.4,11.0,41.1,52.1,23.3,15.2,6.2,4.5,6.8,20.1,20.4,0.1,December
Portland Trail Blazers,14,6,8,0.429,48.0,111.1,40.9,89.9,45.5,12.1,33.2,36.3,17.4,20.9,83.2,10.1,35.5,45.6,19.6,13.1,6.0,7.3,4.9,21.6,18.9,-1.9,December
Detroit Pistons,15,6,9,0.4,48.0,110.0,40.7,87.5,46.6,12.3,33.9,36.1,16.3,22.4,72.6,9.7,32.4,42.1,24.6,15.1,8.1,4.2,6.2,17.4,19.3,-3.1,December
Cleveland Cavaliers,14,5,9,0.357,48.4,103.9,40.2,88.3,45.6,10.5,31.9,32.9,12.9,18.1,71.5,10.9,33.7,44.6,22.1,18.0,6.9,4.0,6.9,16.8,18.5,-11.2,December
New York Knicks,14,5,9,0.357,48.4,105.8,39.4,90.9,43.3,10.0,31.9,31.3,17.1,23.9,71.3,11.6,36.1,47.8,21.9,13.3,7.1,5.1,5.7,21.8,19.4,-8.6,December
